,Name,ID,URL
25,Drunkling - Sizzlers and Pub,18602880,https://www.zomato.com/bangalore/drunkling-sizzlers-and-pub-koramangala-5th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2NjM4NzMiLCIxODYwNTQxNyIsIjE4NjEwMzgzIiwiNTA1NjUiLDE4NjAyODgwLCIxODczMjY2NSIsIjU3ODMzIiwiMTgzMDQ3NTciLCI1MTcwNSIsMTg0Njg4NDMsNTg4ODIsIjE4NjYxMDk0IiwiMTg1ODAyMDIiLCI1MDk0MyIsIjE4NDU1NTcxIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
26,Barbecue by Punjab Grill,18732665,https://www.zomato.com/bangalore/barbecue-by-punjab-grill-malleshwaram-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2MDU0MTciLCIxODYxMDM4MyIsIjUwNTY1IiwiMTg2MDI4ODAiLDE4NzMyNjY1LCI1NzgzMyIsIjE4MzA0NzU3IiwiNTE3MDUiLDE4NDY4ODQzLDU4ODgyLCIxODY2MTA5NCIsIjE4NTgwMjAyIiwiNTA5NDMiLCIxODQ1NTU3MSIsIjE4Njc1NDU5Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
27,Big Pitcher,57833,https://www.zomato.com/bangalore/big-pitcher-airport-road?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2MTAzODMiLCI1MDU2NSIsIjE4NjAyODgwIiwiMTg3MzI2NjUiLDU3ODMzLCIxODMwNDc1NyIsIjUxNzA1IiwxODQ2ODg0Myw1ODg4MiwiMTg2NjEwOTQiLCIxODU4MDIwMiIsIjUwOTQzIiwiMTg0NTU1NzEiLCIxODY3NTQ1OSIsIjE4NDc5MTk5Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
28,Toscano,18304757,https://www.zomato.com/bangalore/toscano-koramangala-7th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTA1NjUiLCIxODYwMjg4MCIsIjE4NzMyNjY1IiwiNTc4MzMiLDE4MzA0NzU3LCI1MTcwNSIsMTg0Njg4NDMsNTg4ODIsIjE4NjYxMDk0IiwiMTg1ODAyMDIiLCI1MDk0MyIsIjE4NDU1NTcxIiwiMTg2NzU0NTkiLCIxODQ3OTE5OSIsIjE4NjkwMjMxIl0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
29,Toit,51705,https://www.zomato.com/bangalore/toit-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2MDI4ODAiLCIxODczMjY2NSIsIjU3ODMzIiwiMTgzMDQ3NTciLDUxNzA1LDE4NDY4ODQzLDU4ODgyLCIxODY2MTA5NCIsIjE4NTgwMjAyIiwiNTA5NDMiLCIxODQ1NTU3MSIsIjE4Njc1NDU5IiwiMTg0NzkxOTkiLCIxODY5MDIzMSIsIjE4NDMwNzg1Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
30,Apsara Ice Cream,18468843,https://www.zomato.com/bangalore/restaurants/apsara-ice-cream?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14
31,Byg Brewski Brewing Company,58882,https://www.zomato.com/bangalore/restaurants/byg-brewski-brewing-company?filterby_collection_id=274852&zrp_bid=0&zrp_pid=14
32,Feast - Sheraton Grand...,18661094,https://www.zomato.com/bangalore/feast-sheraton-grand-bengaluru-whitefield-hotel-convention-centre-whitefield-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTgzMDQ3NTciLCI1MTcwNSIsMTg0Njg4NDMsNTg4ODIsMTg2NjEwOTQsIjE4NTgwMjAyIiwiNTA5NDMiLCIxODQ1NTU3MSIsIjE4Njc1NDU5IiwiMTg0NzkxOTkiLCIxODY5MDIzMSIsIjE4NDMwNzg1IiwiMTg1ODU3MzMiLCIxODMyMzEyNiIsIjE4NDM5NjM0Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
33,1131 Bar + Kitchen,18580202,https://www.zomato.com/bangalore/1131-bar-kitchen-indiranagar-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTE3MDUiLDE4NDY4ODQzLDU4ODgyLCIxODY2MTA5NCIsMTg1ODAyMDIsIjUwOTQzIiwiMTg0NTU1NzEiLCIxODY3NTQ1OSIsIjE4NDc5MTk5IiwiMTg2OTAyMzEiLCIxODQzMDc4NSIsIjE4NTg1NzMzIiwiMTgzMjMxMjYiLCIxODQzOTYzNCIsIjE4NjI4ODk3Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
34,Sultans of Spice,50943,https://www.zomato.com/bangalore/sultans-of-spice-koramangala-5th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsxODQ2ODg0Myw1ODg4MiwiMTg2NjEwOTQiLCIxODU4MDIwMiIsNTA5NDMsIjE4NDU1NTcxIiwiMTg2NzU0NTkiLCIxODQ3OTE5OSIsIjE4NjkwMjMxIiwiMTg0MzA3ODUiLCIxODU4NTczMyIsIjE4MzIzMTI2IiwiMTg0Mzk2MzQiLCIxODYyODg5NyIsIjE4NzA0Nzk1Il0sInQiOiJCZW5nYWx1cnUmIzAzOTtzIEZpbmVzdCAifX0=
35,Sly Granny - The Community...,18455571,https://www.zomato.com/bangalore/sly-granny-the-community-house-indiranagar?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOls1ODg4MiwiMTg2NjEwOTQiLCIxODU4MDIwMiIsIjUwOTQzIiwxODQ1NTU3MSwiMTg2NzU0NTkiLCIxODQ3OTE5OSIsIjE4NjkwMjMxIiwiMTg0MzA3ODUiLCIxODU4NTczMyIsIjE4MzIzMTI2IiwiMTg0Mzk2MzQiLCIxODYyODg5NyIsIjE4NzA0Nzk1IiwiMTg0MjYzODEiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
36,Shakes Theory,18675459,https://www.zomato.com/bangalore/shakes-theory-1-jayanagar-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2NjEwOTQiLCIxODU4MDIwMiIsIjUwOTQzIiwiMTg0NTU1NzEiLDE4Njc1NDU5LCIxODQ3OTE5OSIsIjE4NjkwMjMxIiwiMTg0MzA3ODUiLCIxODU4NTczMyIsIjE4MzIzMTI2IiwiMTg0Mzk2MzQiLCIxODYyODg5NyIsIjE4NzA0Nzk1IiwiMTg0MjYzODEiLCI1MDc0MiJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19
37,IceBreakers,18479199,https://www.zomato.com/bangalore/icebreakers-koramangala-6th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg1ODAyMDIiLCI1MDk0MyIsIjE4NDU1NTcxIiwiMTg2NzU0NTkiLDE4NDc5MTk5LCIxODY5MDIzMSIsIjE4NDMwNzg1IiwiMTg1ODU3MzMiLCIxODMyMzEyNiIsIjE4NDM5NjM0IiwiMTg2Mjg4OTciLCIxODcwNDc5NSIsIjE4NDI2MzgxIiwiNTA3NDIiLCIxODUzNDM5NiJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19
38,Aligarh House,18690231,https://www.zomato.com/aligarh-house?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiNTA5NDMiLCIxODQ1NTU3MSIsIjE4Njc1NDU5IiwiMTg0NzkxOTkiLDE4NjkwMjMxLCIxODQzMDc4NSIsIjE4NTg1NzMzIiwiMTgzMjMxMjYiLCIxODQzOTYzNCIsIjE4NjI4ODk3IiwiMTg3MDQ3OTUiLCIxODQyNjM4MSIsIjUwNzQyIiwiMTg1MzQzOTYiLCIxODM5Njc4MiJdLCJ0IjoiQmVuZ2FsdXJ1JiMwMzk7cyBGaW5lc3QgIn19
39,Communiti,18430785,https://www.zomato.com/bangalore/communiti-residency-road?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg0NTU1NzEiLCIxODY3NTQ1OSIsIjE4NDc5MTk5IiwiMTg2OTAyMzEiLDE4NDMwNzg1LCIxODU4NTczMyIsIjE4MzIzMTI2IiwiMTg0Mzk2MzQiLCIxODYyODg5NyIsIjE4NzA0Nzk1IiwiMTg0MjYzODEiLCI1MDc0MiIsIjE4NTM0Mzk2IiwiMTgzOTY3ODIiLDUwODEyXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
40,Vapour Brewpub and Diner,18585733,https://www.zomato.com/bangalore/vapour-brewpub-and-diner-sarjapur-road?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2NzU0NTkiLCIxODQ3OTE5OSIsIjE4NjkwMjMxIiwiMTg0MzA3ODUiLDE4NTg1NzMzLCIxODMyMzEyNiIsIjE4NDM5NjM0IiwiMTg2Mjg4OTciLCIxODcwNDc5NSIsIjE4NDI2MzgxIiwiNTA3NDIiLCIxODUzNDM5NiIsIjE4Mzk2NzgyIiw1MDgxMiwiMTg1NDM1NDYiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
41,Fabelle Chocolate Boutique...,18323126,https://www.zomato.com/bangalore/fabelle-chocolate-boutique-itc-gardenia-richmond-road-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg0NzkxOTkiLCIxODY5MDIzMSIsIjE4NDMwNzg1IiwiMTg1ODU3MzMiLDE4MzIzMTI2LCIxODQzOTYzNCIsIjE4NjI4ODk3IiwiMTg3MDQ3OTUiLCIxODQyNjM4MSIsIjUwNzQyIiwiMTg1MzQzOTYiLCIxODM5Njc4MiIsNTA4MTIsIjE4NTQzNTQ2IiwiMTg1ODEwODkiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
42,ECHOES Koramangala,18439634,https://www.zomato.com/bangalore/echoes-koramangala-koramangala-5th-block?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg2OTAyMzEiLCIxODQzMDc4NSIsIjE4NTg1NzMzIiwiMTgzMjMxMjYiLDE4NDM5NjM0LCIxODYyODg5NyIsIjE4NzA0Nzk1IiwiMTg0MjYzODEiLCI1MDc0MiIsIjE4NTM0Mzk2IiwiMTgzOTY3ODIiLDUwODEyLCIxODU0MzU0NiIsIjE4NTgxMDg5IiwiMTgyNzAxNjMiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
43,Avista Cafe Pizzeria,18628897,https://www.zomato.com/bangalore/avista-cafe-pizzeria-hennur-bangalore?zrp_bid=0&zrp_pid=14&context=eyJjIjp7ImUiOlsiMTg0MzA3ODUiLCIxODU4NTczMyIsIjE4MzIzMTI2IiwiMTg0Mzk2MzQiLDE4NjI4ODk3LCIxODcwNDc5NSIsIjE4NDI2MzgxIiwiNTA3NDIiLCIxODUzNDM5NiIsIjE4Mzk2NzgyIiw1MDgxMiwiMTg1NDM1NDYiLCIxODU4MTA4OSIsIjE4MjcwMTYzIiwiNTgzNDkiXSwidCI6IkJlbmdhbHVydSYjMDM5O3MgRmluZXN0ICJ9fQ==
